num,v1,v2,conf,agree,authoritative_line
0001,host-extension,unclassified,none,false,""
0002,new-rfc,rides-accepted,inline,false,"**Per the FEATURES/CLAUDE governance note,** no new OpenWOP RFC was needed: SSO rides on the already-Accepted RFC 0050 profiles, and MFA is a host-internal feat"
0003,new-rfc,host-extension,inline,false,"> **No new OpenWOP RFC.** RFC 0048 already defines the `principal` / run-owner > concept; this only changes the host's *id-minting policy* for new runs > (forwa"
0004,new-rfc,host-extension,inline,false,"> **No new OpenWOP RFC.** Invitations are a non-normative `/v1/host/openwop-app/*` > onboarding helper; orgs/roles ride accessControl's existing RFC-0049 model."
0005,host-extension,host-extension,inline,true,"**Surface:** `/v1/host/openwop-app/profiles/*` (host-extension, NON-NORMATIVE — no new OpenWOP RFC; nothing touches the wire)."
0006,new-rfc,host-extension,inline,false,"> **No new OpenWOP RFC.** Roles → scopes is **RFC 0049** (`Draft`), whose > `capabilities.authorization` block + `authorization.decided` event + the > `/v1/host"
0007,rides-accepted,host-extension,inline,false,"**Surface:** `/v1/host/openwop-app/media/*` (host-extension, NON-NORMATIVE — no RFC; bytes ride the existing RFC 0055 media-asset surface)."
0008,host-extension,host-extension,inline,true,"**Surface:** `/v1/host/openwop-app/crm/*` (host-extension, NON-NORMATIVE — no RFC)."
0009,host-extension,host-extension,inline,true,"**Surface:** `/v1/host/openwop-app/cms/*` (host-extension, NON-NORMATIVE — no RFC)."
0010,host-extension,unclassified,none,false,""
0011,host-extension,unclassified,none,false,""
0012,host-extension,host-extension,inline,true,"- **No wire surface → no RFC:** entirely under `/v1/host/openwop-app/*`."
0013,host-extension,host-extension,inline,true,"- **No wire surface → no RFC:** entirely under `/v1/host/openwop-app/*`."
0014,host-extension,host-extension,inline,true,"- **Conformant.** A typed `ctx.<feature>` surface is a sanctioned host extension (`spec/v1/host-extensions.md`); no new RFC is required while it stays non-norma"
0015,new-rfc,host-extension,inline,false,"> **No new OpenWOP RFC.** Everything here is host-side: tenancy is a host concern, > orgs/members/roles ride accessControl's existing **RFC 0049** scope model, "
0016,host-extension,host-extension,inline,true,"**Surface:** `/v1/host/openwop-app/csm/*` + `ctx.features.csm` (host-extension, NON-NORMATIVE — no RFC)."
0017,host-extension,host-extension,inline,true,"**Toggle:** `forms` · **Surfaces:** authed `/v1/host/openwop-app/forms/orgs/:orgId/*` + **public (unauthed)** `/v1/host/openwop-app/public-forms/:formId[/submit"
0018,host-extension,host-extension,inline,true,"**Toggle:** `analytics` · **Surfaces:** authed `/v1/host/openwop-app/analytics/orgs/:orgId/*` + **public (unauthed) beacon** `/v1/host/openwop-app/public-analyt"
0019,host-extension,host-extension,inline,true,"**Toggle:** `email` · **Surface:** authed `/v1/host/openwop-app/email/orgs/:orgId/*` (host-extension, NON-NORMATIVE — no RFC). No public surface."
0020,host-extension,host-extension,inline,true,"**Toggle:** `consent` · **Surfaces:** authed `/v1/host/openwop-app/consent/orgs/:orgId/*` + **public (unauthed)** `/v1/host/openwop-app/public-consent/:orgId` ("
0021,host-extension,host-extension,inline,true,"**Toggle:** `comments` · **Surface:** authed `/v1/host/openwop-app/comments/orgs/:orgId/*` (host-extension, NON-NORMATIVE — no RFC)"
0022,host-extension,host-extension,inline,true,"**Toggle:** `marketplace` · **Surface:** authed `/v1/host/openwop-app/marketplace/*` (host-extension, NON-NORMATIVE — the registry wire is already defined; no n"
0023,new-rfc,host-extension,inline,false,"**Surface:** `/v1/host/openwop-app/assistant/*` + `ctx.features.assistant` (host-extension, **NON-NORMATIVE — no RFC**)."
0024,rides-accepted,host-extension,verdict-section,false,"**Host work — no new RFC.** All surfaces under `/v1/host/openwop-app/{connections,"
0025,host-extension,host-extension,verdict-section,true,"**Host work — no new RFC.** Generalizing an existing optional owner field, an"
0026,host-extension,host-extension,inline,true,"## Why this is host-only (no RFC, no wire change)"
0027,host-extension,host-extension,inline,true,"- **No wire surface → no RFC:** everything is under `/v1/host/openwop-app/*` (+ the SPA) — non-normative host-extension surface."
0027,rides-accepted,host-extension,verdict-section,false,"**Host work — no new RFC.** `contentTrust` on run events is already RFC 0021"
0028,rides-accepted,host-extension,verdict-section,false,"**Host work — no new RFC.** Policy, RBAC narrowing, and audit views are"
0029,rides-accepted,host-extension,verdict-section,false,"**Host work — no new RFC.** Evals are host tests + an admin view; metrics stay"
0030,host-extension,host-extension,inline,true,"**Surface:** host-internal `ctx.mcp` (the executor builds it). **NON-NORMATIVE — no RFC.** RFC 0020 governs *exposing* the host AS an MCP server; *consuming* ex"
0031,host-extension,host-extension,inline,true,"**NON-NORMATIVE — no OpenWOP RFC.** This adds host-local product configuration; it does **not** touch the RFC 0003 agent manifest wire shape or any `/v1` contra"
0032,host-extension,unclassified,none,false,""
0033,host-extension,unclassified,none,false,""
0034,rides-accepted,rides-accepted,explicit-gate,true,"**RFC gate:** This is **host work that rides RFC 0099**, which has reached `Active`. The wiring was gated on that RFC reaching at least `Active` (RFC 0099 §Impl"
0035,new-rfc,host-extension,inline,false,"*whole run* that may pause at an approval gate for hours. The caller disconnects; the synchronous round-trip cannot carry that. ADR 0033 explicitly deferred asy"
0036,host-extension,host-extension,inline,true,"**NON-NORMATIVE — no OpenWOP RFC.** This enforces host-local product config (`agentProfile`, ADR 0031) that no OpenWOP client reads; it touches no `/v1` contrac"
0037,host-extension,unclassified,none,false,""
0038,rides-accepted,rides-accepted,verdict-section,true,"**Verdict: host work, NO new RFC.** Rides Accepted **RFC 0004** (memory read/write"
0039,new-rfc,rides-accepted,inline,false,"These are **non-normative host-extension routes** under `/v1/host/openwop-app/*` (per `host-extensions.md` §'Canonical prefixes') — they ride the already-Accept"
0040,new-rfc,host-extension,verdict-section,false,"**Verdict: PHASED — host MVP needs NO blocking RFC; a non-blocking companion RFC upstreams the"
0041,rides-accepted,host-extension,verdict-section,false,"**Host-only — no new RFC.** The change keys the existing opaque `memoryRef` on `user:<userId>`"
0042,rides-accepted,host-extension,verdict-section,false,"**Host-only — no new RFC.** New binding field on a host-ext record, new routes under"
0043,host-extension,host-extension,verdict-section,true,"**Verdict: purely host-side. NO new RFC, and no change to an existing one.**"
0044,host-extension,host-extension,verdict-section,true,"**Host-only — no new RFC**, today: the link, grant, and composition are all host-internal;"
0045,host-extension,host-extension,verdict-section,true,"**Host-only for Phases 1–4 — no RFC.** Subject is a host-side ownership abstraction; the scattered"
0046,host-extension,host-extension,inline,true,"**Surface:** host-internal under `/v1/host/openwop-app/projects/*`. **Host-only — no RFC.**"
0047,unclassified,host-extension,inline,false,"**Surface:** host-internal. **Host-only — no RFC.**"
0048,unclassified,host-extension,inline,false,"**Surface:** host-internal. **Host-only — no RFC** (the `AgentRef` wire is unchanged — see § Wire gate)."
0049,host-extension,host-extension,verdict-section,true,"**Verdict: NO new RFC; this is host-extension work.** Nothing touches the OpenWOP wire:"
0050,host-extension,host-extension,verdict-section,true,"**NO new RFC.** `recipientUserId` is host-internal notification state on the ADR 0010"
0051,host-extension,unclassified,none,false,""
0052,host-extension,host-extension,verdict-section,true,"**NO new RFC.** This is host/app release engineering. The only wire-adjacent change is"
0053,new-rfc,host-extension,verdict-section,false,"**Pure host-extension work — NO new RFC required, and none blocks it.** All routes live under"
0054,host-extension,host-extension,verdict-section,true,"**Host-extension — NO new RFC.** Every surface is host-internal and non-normative: the"
0055,rides-accepted,host-extension,verdict-section,false,"**No new RFC** — RFC 0071/0075 are Accepted; this is host implementation. BUT it adds a real"
0056,host-extension,host-extension,verdict-section,true,"**Pure host-extension — no new RFC.** Reads existing host surfaces (canvas/launch-studio),"
0057,host-extension,host-extension,verdict-section,true,"**Pure host-extension — no new RFC.** Rendering produces Media (RFC 0055) bytes and stamps a"
0058,new-rfc,host-extension,verdict-section,false,"**Host-extension only — no new RFC.** All routes live under"
0059,host-extension,host-extension,explicit-gate,true,"**RFC gate:** **NO new RFC** — host-extension, no wire change. (Cross-list/portfolio rollup would be the wire case; it stays parked.)"
0060,new-rfc,host-extension,explicit-gate,false,"**RFC gate:** **NO new RFC.** A WORKSPACE-internal aggregation across the caller's own lists touches no wire. (Only *cross-HOST* portfolio federation — aggregat"
0061,host-extension,host-extension,explicit-gate,true,"**RFC gate:** **NO new RFC** — this is the **Option A** federation the `/plan` settled on: both ends run *this* host, so host A reads host B's **non-normative**"
0062,host-extension,host-extension,explicit-gate,true,"**RFC gate:** **(b) + (c1) need NO RFC** (host-internal credential management + resolution)."
0063,host-extension,host-extension,explicit-gate,true,"**RFC gate:** **NO new RFC.** Host-extension only — no wire field on `/v1/*`, no capability flag, no normative MUST. Additive response field on a non-normative "
0064,rides-accepted,rides-accepted,explicit-gate,true,"**RFC gate:** **NO new RFC.** Rides Accepted RFC 0103; the advertised capability shapes are already normative. CMS routes stay host-extension (non-normative). T"
0065,rides-accepted,host-extension,explicit-gate,false,"**RFC gate:** **NO new RFC.** Pure frontend + a behavior-preserving header tweak; the `Accept-Language` semantics are already normative (RFC 0103 `i18n.md` anne"
0066,host-extension,host-extension,verdict-section,true,"No wire surface → **no RFC**. Composes `host/approvalService.ts` +"
0067,host-extension,host-extension,explicit-gate,true,"**RFC gate:** no new RFC if this only completes already-advertised `conversationPrimitive` behavior. Any new event field, endpoint contract, or capability claim"
0068,new-rfc,host-extension,explicit-gate,false,"**RFC gate:** host work only. A standard cross-host review-list endpoint or normative review event needs a new OpenWOP RFC."
0069,host-extension,host-extension,explicit-gate,true,"**RFC gate:** no new RFC for a host workbench over accepted artifact-type behavior. New normative artifact events, required fields, or cross-host workbench endp"
0070,host-extension,unclassified,explicit-gate,false,"**RFC gate:** advertise quorum only when the behavior is implemented and covered. If desired policy fields are not already specified by OpenWOP, author or amend"
0071,host-extension,host-extension,explicit-gate,true,"**RFC gate:** host work only. Feedback becomes protocol work only if OpenWOP standardizes feedback events."
0072,host-extension,host-extension,verdict-section,true,"**Host-extension; no new RFC.** All surfaces ride non-normative `/v1/host/openwop-app/*` routes and accepted behavior (run lifecycle, node packs, the registrati"
0073,host-extension,host-extension,verdict-section,true,"Frontend refactor; **no new RFC**. No wire/capability change."
0074,new-rfc,host-extension,explicit-gate,false,"**RFC gate:** **Host work only — no RFC needed.** Every new surface is non-normative (`/v1/host/openwop-app/*`), reuses the existing `node.interrupt.resolved` w"
0075,new-rfc,host-extension,explicit-gate,false,"**RFC gate:** Phase 1 (this ADR) is host-only and needs **no** RFC — it rides the already-specified advisory `approversList` field (`interrupt.md`) and the non-"
0076,host-extension,host-extension,explicit-gate,true,"**RFC gate:** **no new RFC.** Connection packs and node packs are non-normative host-extension (the same class as the six shipped packs: github/jira/microsoft36"
0077,host-extension,host-extension,verdict-section,true,"**Host-internal — no new RFC.** Classification, log masking, and retention are entirely host-side; no wire shape, capability, or event changes."
0078,new-rfc,host-extension,verdict-section,false,"**Host-extension — no new RFC.** Agents ride Accepted RFC 0070; scheduler RFC 0052; triggers RFC 0099; all routes under `/v1/host/openwop-app/insights-suite/*`;"
0079,rides-accepted,host-extension,verdict-section,false,"**Host-extension — NO new RFC.** Everything lives under `/v1/host/openwop-app/strategy/*`,"
0079,host-extension,host-extension,explicit-gate,true,"**RFC gate:** **Host work — no new RFC.** Token streaming rides the **spec-canonical** `ai.message.chunk` run event (`stream-modes.md`, `messages` mode; same ev"
0080,rides-accepted,rides-accepted,verdict-section,true,"**Host-extension — NO new RFC.** Node pack rides RFC 0076; agent pack rides RFC 0003; the"
0081,host-extension,host-extension,verdict-section,true,"**Host-extension — no new RFC.** The only wire-touching idea (portable query-provenance) is"
